Sale_Number,Lease_Number,Bid_Amount,Company_Number,Protraction_ID,Block_Number,Acreage,Source_Sale
247,0036016,3157976,2748,NG15-02,1006,5760.0,Unknown
247,0036016,2470717,2873,NG15-02,1006,5760.0,Unknown
247,0036016,2470717,1500,NG15-02,1006,5760.0,Unknown
247,0036016,2250719,689,NG15-02,1006,5760.0,Unknown
247,0036016,2180829,78,NG15-02,1006,5760.0,Unknown
247,0036017,3769784,59,NG15-03,28,5760.0,Unknown
247,0036018,6833767,59,NG15-03,72,5760.0,Unknown
247,0036019,802787,59,NG15-03,116,5760.0,Unknown
247,0036020,676915,2481,NG15-03,124,5760.0,Unknown
247,0036021,600000,3035,NG15-03,198,5760.0,Unknown
247,0036022,590025,276,NG15-03,204,5760.0,Unknown
247,0036023,650888,3238,NG15-03,242,5760.0,Unknown
247,0036023,650888,1308,NG15-03,242,5760.0,Unknown
247,0036023,650888,1999,NG15-03,242,5760.0,Unknown
247,0036024,590025,276,NG15-03,249,5760.0,Unknown
247,0036025,5275025,276,NG15-03,250,5760.0,Unknown
247,0036025,3203000,3026,NG15-03,250,5760.0,Unknown
247,0036026,2175025,276,NG15-03,251,5760.0,Unknown
247,0036027,576000,2277,NG15-03,260,5760.0,Unknown
247,0036028,2150025,276,NG15-03,283,5760.0,Unknown
247,0036029,18327777,59,NG15-03,287,5760.0,Unknown
247,0036029,2830425,78,NG15-03,287,5760.0,Unknown
247,0036029,1556719,689,NG15-03,287,5760.0,Unknown
247,0036030,576000,2277,NG15-03,304,5760.0,Unknown
247,0036031,2150025,276,NG15-03,319,5760.0,Unknown
247,0036032,775025,276,NG15-03,340,5760.0,Unknown
247,0036033,775025,276,NG15-03,341,5760.0,Unknown
247,0036034,585150,3247,NG15-03,367,5760.0,Unknown
247,0036035,603000,3026,NG15-03,379,5760.0,Unknown
247,0036036,775025,276,NG15-03,384,5760.0,Unknown
247,0036037,590025,276,NG15-03,401,5760.0,Unknown
247,0036038,585150,3247,NG15-03,416,5760.0,Unknown
247,0036039,625260,2219,NG15-03,429,5760.0,Unknown
247,0036040,590025,276,NG15-03,445,5760.0,Unknown
247,0036041,1001260,2219,NG15-03,473,5760.0,Unknown
247,0036042,625260,2219,NG15-03,474,5760.0,Unknown
247,0036043,590025,276,NG15-03,486,5760.0,Unknown
247,0036044,711115,78,NG15-03,505,5760.0,Unknown
247,0036045,625260,2219,NG15-03,517,5760.0,Unknown
247,0036046,625260,2219,NG15-03,566,5760.0,Unknown
